date,product,store,sales
2014-01-05,Product_A,Warehouse_1,1163.2026172983833
2014-01-05,Product_A,Warehouse_2,1295.0078604183611
2014-01-05,Product_A,Warehouse_3,1523.9368992052869
2014-01-05,Product_B,Warehouse_1,1287.044659960073
2014-01-05,Product_B,Warehouse_2,1468.3778995074983
2014-01-05,Product_B,Warehouse_3,1526.1361060061795
2014-01-05,Product_C,Warehouse_1,1322.5044208762795
2014-01-05,Product_C,Warehouse_2,1467.432139585115
2014-01-05,Product_C,Warehouse_3,1669.839057410322
2014-01-05,Product_D,Warehouse_1,1395.5299250969185
2014-01-05,Product_D,Warehouse_2,1582.202178558044
2014-01-05,Product_D,Warehouse_3,1847.7136753481489
2014-01-12,Product_A,Warehouse_1,1113.0518862573497
2014-01-12,Product_A,Warehouse_2,1281.0837508246414
2014-01-12,Product_A,Warehouse_3,1497.1931616372713
2014-01-12,Product_B,Warehouse_1,1191.6837163687132
2014-01-12,Product_B,Warehouse_2,1449.7039536578802
2014-01-12,Product_B,Warehouse_3,1564.74208681171
2014-01-12,Product_C,Warehouse_1,1290.6533850825451
2014-01-12,Product_C,Warehouse_2,1432.2952130349138
2014-01-12,Product_C,Warehouse_3,1547.350509208296
2014-01-12,Product_D,Warehouse_1,1407.680929772018
2014-01-12,Product_D,Warehouse_2,1618.2218099429754
2014-01-12,Product_D,Warehouse_3,1737.891748979678
2014-01-19,Product_A,Warehouse_1,1188.4877311993803
2014-01-19,Product_A,Warehouse_2,1202.2817162700617
2014-01-19,Product_A,Warehouse_3,1477.2879258650723
2014-01-19,Product_B,Warehouse_1,1165.6408074987082
2014-01-19,Product_B,Warehouse_2,1451.6389607179228
2014-01-19,Product_B,Warehouse_3,1648.4679384950143
2014-01-19,Product_C,Warehouse_1,1282.7473712848457
2014-01-19,Product_C,Warehouse_2,1493.9081259801087
2014-01-19,Product_C,Warehouse_3,1630.6107126184943
2014-01-19,Product_D,Warehouse_1,1275.9601765888037
2014-01-19,Product_D,Warehouse_2,1557.6043925336924
2014-01-19,Product_D,Warehouse_3,1782.817448455199
2014-01-26,Product_A,Warehouse_1,1136.514534036386
2014-01-26,Product_A,Warehouse_2,1335.1189924392206
2014-01-26,Product_A,Warehouse_3,1455.6336591296024
2014-01-26,Product_B,Warehouse_1,1159.8848624712332
2014-01-26,Product_B,Warehouse_2,1322.5723517466454
2014-01-26,Product_B,Warehouse_3,1503.9991031410511
2014-01-26,Product_C,Warehouse_1,1189.6864904687493
2014-01-26,Product_C,Warehouse_2,1572.5387697615895
2014-01-26,Product_C,Warehouse_3,1649.5173909124173
2014-01-26,Product_D,Warehouse_1,1353.0962849194407
2014-01-26,Product_D,Warehouse_2,1512.3602319975037
2014-01-26,Product_D,Warehouse_3,1813.8745177915955
2014-02-02,Product_A,Warehouse_1,1012.6063778113244
2014-02-02,Product_A,Warehouse_2,1282.6642561785234
2014-02-02,Product_A,Warehouse_3,1448.5279421295381
2014-02-02,Product_B,Warehouse_1,1212.6463950821849
2014-02-02,Product_B,Warehouse_2,1367.7610133107783
2014-02-02,Product_B,Warehouse_3,1534.2696609831014
2014-02-02,Product_C,Warehouse_1,1291.8921587722891
2014-02-02,Product_C,Warehouse_2,1514.7178637157429
2014-02-02,Product_C,Warehouse_3,1696.6271313083803
2014-02-02,Product_D,Warehouse_1,1408.424865076211
2014-02-02,Product_D,Warehouse_2,1561.5851655051738
2014-02-02,Product_D,Warehouse_3,1775.164211889865
2014-02-09,Product_A,Warehouse_1,1059.6782478004243
2014-02-09,Product_A,Warehouse_2,1275.3236121121947
2014-02-09,Product_A,Warehouse_3,1452.6439560869992
2014-02-09,Product_B,Warehouse_1,1106.987140072638
2014-02-09,Product_B,Warehouse_2,1402.1725773019095
2014-02-09,Product_B,Warehouse_3,1573.2122233788089
2014-02-09,Product_C,Warehouse_1,1211.7913528409197
2014-02-09,Product_C,Warehouse_2,1516.4403829655107
2014-02-09,Product_C,Warehouse_3,1647.9363519700598
2014-02-09,Product_D,Warehouse_1,1395.8985399790288
2014-02-09,Product_D,Warehouse_2,1629.7557982980989
2014-02-09,Product_D,Warehouse_3,1799.7504157270923
2014-02-16,Product_A,Warehouse_1,1150.271304416387
